2024-06-08|45|57|43|54|45|62|53|64|55|70|54|63|54|71|50|62|35134|524272|557070
2024-06-09|43|63|42|55|47|60|52|65|54|75|53|66|55|65|50|62|34170|524828|556602
2024-06-10|42|59|43|63|46|60|53|65|57|68|55|66|54|81|49|62|36289|522488|556515
2024-06-11|43|57|41|54|46|54|54|69|58|69|57|74|55|66|51|61|35998|520320|553902
2024-06-12|44|55|43|56|46|63|55|69|56|73|55|67|54|76|52|70|36382|521529|555656
2024-06-13|45|58|45|54|48|58|56|72|57|66|56|70|56|65|51|71|36887|524671|559131
2024-06-14|55|62|55|61|46|65|54|70|54|77|54|64|53|68|50|65|41315|519234|558094
2024-06-15|44|55|42|57|44|71|52|68|52|80|53|72|52|69|48|72|36784|526237|560556
2024-06-16|41|53|37|52|44|57|50|62|52|74|53|65|51|62|49|60|37628|521106|556350
2024-06-17|43|54|42|53|45|58|53|72|55|70|53|67|52|64|50|68|36120|523398|556866
2024-06-18|49|56|44|60|45|58|53|66|54|69|55|74|53|67|50|62|37077|521119|555963
2024-06-19|75|69|78|75|49|58|54|73|54|70|57|69|55|71|54|63|36496|521567|555631
2024-06-20|46|57|44|58|47|69|54|66|54|77|54|70|56|67|50|66|36959|525605|560229
2024-06-21|43|64|45|63|47|66|56|73|56|76|56|68|55|71|51|66|36337|527622|561613
2024-06-22|45|56|43|56|47|60|56|73|56|77|56|65|55|72|52|63|35032|534129|566561
2024-06-23|44|55|44|67|47|66|55|69|54|67|55|67|54|68|51|71|35062|518578|551428
2024-06-24|45|56|42|55|51|61|56|69|59|77|58|74|59|78|54|63|36683|532400|566695
2024-06-25|80|56|79|57|49|69|57|70|55|62|59|75|56|68|53|64|35925|527801|561349
2024-06-26|46|61|43|53|49|61|58|67|58|74|58|71|57|71|53|65|36264|532117|566200
2024-06-27|45|57|43|55|48|64|58|70|58|67|58|74|57|69|53|63|36692|535896|570332
2024-06-28|44|56|43|55|48|64|56|71|58|73|57|74|56|73|51|65|35480|531199|564493
2024-06-29|47|60|45|64|48|65|56|68|56|69|57|70|56|69|52|65|34386|530314|562511
2024-06-30|45|56|45|60|47|69|57|74|57|74|57|74|57|70|53|71|33590|536628|567620
2024-07-01|47|65|47|64|50|65|59|75|59|75|59|69|59|70|54|67|37153|529903|564723
2024-07-02|49|59|49|59|46|57|54|71|55|74|55|74|54|64|50|67|36489|555854|590092
2024-07-03|48|62|46|62|45|56|52|63|55|72|54|67|53|67|50|67|36193|530038|564166
2024-07-04|48|58|43|59|44|54|52|68|53|72|53|85|52|71|49|62|36299|527806|562236
2024-07-05|46|58|47|59|51|64|60|71|61|74|62|70|60|82|58|72|36713|529377|563991
2024-07-06|48|60|47|59|47|67|53|64|54|73|55|70|54|67|51|64|35276|530454|563767
2024-07-07|46|57|47|57|45|53|53|74|55|65|55|66|55|66|50|69|33823|535602|567171
2024-07-08|26|43|27|39|36|44|46|62|45|51|44|50|44|50|40|49|23997|530203|552420
