2024-06-04|33|57|31|56|19|34|18|31|19|30|19|34|19|39|19|31|19|41|19|26|19|29|20|33|17|29|20|27|38233|592665|598564
2024-06-05|31|47|32|46|19|36|18|31|19|31|19|34|20|37|19|25|18|38|19|32|18|34|20|29|18|34|20|32|38620|609629|616527
2024-06-06|31|49|32|47|20|33|18|36|20|33|19|33|19|29|20|34|19|33|20|31|18|36|21|35|19|34|20|36|38750|614261|621743
2024-06-07|38|59|38|50|20|36|19|32|20|36|20|33|20|30|20|39|19|30|20|38|19|27|21|38|19|27|20|33|38199|615291|621903
2024-06-08|34|48|32|47|20|33|18|26|19|35|19|31|20|32|19|30|19|38|20|25|18|30|20|33|18|40|20|33|37533|618126|624380
2024-06-09|32|50|30|46|20|33|19|27|20|27|20|38|20|37|19|32|19|32|20|30|18|32|21|29|19|35|21|33|35825|623353|627701
2024-06-10|35|58|34|55|20|34|19|33|20|32|19|33|20|32|20|30|19|37|21|37|19|33|20|37|19|33|21|37|38918|621006|628507
2024-06-11|33|48|32|59|20|30|19|24|20|33|20|35|20|37|21|38|20|32|21|36|20|35|21|37|20|39|21|33|38481|620165|627036
2024-06-12|34|50|33|48|21|37|19|35|20|31|20|27|21|35|21|30|20|38|20|36|19|38|21|35|20|26|21|35|38586|621693|628894
2024-06-13|35|61|32|51|21|35|19|29|21|33|20|30|20|38|21|43|20|32|20|36|20|31|21|34|19|36|22|28|39001|625405|632986
2024-06-14|39|50|38|60|20|40|18|27|19|35|19|30|19|38|19|33|19|36|19|37|19|39|21|38|19|33|20|37|44558|615401|628659
2024-06-15|31|49|31|46|19|37|17|30|19|42|18|27|19|34|19|34|19|38|19|37|17|29|20|30|18|34|19|31|39971|624405|633734
2024-06-16|30|57|30|47|18|26|17|27|19|33|18|34|18|39|18|29|18|28|19|30|18|31|19|30|18|29|19|33|40674|616457|626454
2024-06-17|35|50|33|53|19|27|18|30|19|27|18|34|19|26|19|30|18|29|20|32|18|34|20|28|18|38|20|36|39008|620895|628738
2024-06-18|33|50|31|45|20|36|18|29|20|32|19|34|19|35|19|39|19|38|20|33|18|33|21|36|19|37|20|32|39677|618810|627500
2024-06-19|40|66|47|67|20|36|18|31|20|33|19|57|19|37|19|38|19|37|20|35|18|31|20|38|19|35|21|39|39517|623391|631729
2024-06-20|35|48|32|58|20|39|18|37|19|35|19|36|19|37|20|41|19|33|20|33|19|36|21|35|19|32|20|31|39454|624096|632083
2024-06-21|33|51|34|46|20|36|19|39|20|36|19|39|20|32|20|35|20|38|21|37|19|38|21|48|19|29|21|41|39039|627132|634667
2024-06-22|33|49|33|52|20|30|19|33|20|37|19|33|20|35|20|33|19|39|20|39|19|34|21|32|18|34|20|39|37551|629875|635768
2024-06-23|34|48|33|53|20|28|19|25|20|40|19|32|19|33|20|34|19|31|20|36|19|32|21|36|19|33|20|34|37632|625251|631969
2024-06-24|32|49|32|46|21|38|21|34|22|35|21|26|20|35|21|36|20|32|21|46|20|39|22|41|20|33|22|39|38632|628492|635372
2024-06-25|72|60|58|50|20|42|20|32|21|32|21|31|21|35|21|31|20|34|21|42|21|32|22|39|20|38|22|40|38767|628211|635260
2024-06-26|33|47|33|59|21|37|20|37|22|34|20|31|20|39|21|48|20|35|21|41|20|39|22|40|20|30|22|34|38746|628406|635336
2024-06-27|39|50|33|47|21|38|20|32|21|30|20|36|21|33|21|41|20|27|21|36|20|30|22|38|19|32|21|34|39295|634067|641585
2024-06-28|34|52|32|51|20|33|19|35|21|44|20|39|20|29|20|34|20|67|20|38|19|31|21|41|19|42|21|37|37887|631923|638129
2024-06-29|34|49|32|52|20|39|19|32|20|38|19|36|20|35|20|32|19|36|20|34|19|35|21|41|19|37|21|34|36926|630511|635845
2024-06-30|34|48|34|53|20|38|19|33|20|40|20|38|20|36|20|33|19|34|21|36|20|38|21|37|19|36|21|35|35865|634907|638917
2024-07-01|35|59|36|49|22|28|20|35|22|37|21|37|21|35|21|35|21|29|22|37|21|33|22|37|20|35|22|35|39678|629230|637457
2024-07-02|35|52|36|51|20|37|19|38|20|34|19|34|19|31|20|38|20|33|20|38|19|36|22|38|19|31|20|32|38916|637589|645288
2024-07-03|35|53|33|60|20|31|19|35|20|35|19|30|19|35|20|38|19|41|20|30|18|35|20|32|19|34|20|35|38782|627303|634687
2024-07-04|23|38|21|35|16|27|15|19|16|27|15|21|15|24|16|20|16|26|17|25|15|28|16|21|15|18|17|23|25435|629194|623046
