2024-06-09|8|13|8|13|8|13|22|59|21|53|22|51|21|49|40209|599134|582178
2024-06-10|9|16|9|22|8|16|21|53|22|51|22|56|22|49|43884|593720|580711
2024-06-11|8|20|8|18|8|15|22|52|22|44|22|41|21|50|43042|589051|575709
2024-06-12|9|15|9|28|8|16|21|56|21|59|22|57|22|49|43108|596950|583349
2024-06-13|8|17|9|27|8|15|21|50|22|46|22|55|22|58|44021|596140|583195
2024-06-14|9|15|9|14|9|15|20|52|20|46|21|50|20|57|48812|586264|578789
2024-06-15|8|16|7|19|8|14|19|53|20|56|20|52|19|40|43724|592124|580775
2024-06-16|8|27|8|28|8|18|19|49|19|47|19|46|19|44|44456|585071|575077
2024-06-17|8|14|8|16|8|12|20|51|20|45|20|40|20|52|42910|587833|575397
2024-06-18|8|15|8|30|9|13|21|53|21|47|21|69|21|53|44222|589458|577422
2024-06-19|9|18|10|17|9|16|21|50|20|53|21|48|21|53|43635|593056|580038
2024-06-20|8|16|8|14|8|15|21|41|21|53|21|52|21|51|43998|593414|580564
2024-06-21|8|19|9|16|8|14|21|52|21|53|22|52|21|87|43546|594100|580683
2024-06-22|8|52|9|16|9|13|21|55|21|52|22|46|21|56|42029|592206|577590
2024-06-23|8|20|9|15|8|21|21|46|20|50|21|46|21|56|41723|592583|577829
2024-06-24|8|18|8|19|8|25|22|52|22|52|23|53|22|54|43616|593983|581132
2024-06-25|14|19|10|23|10|16|21|64|23|58|22|44|22|50|42902|593483|579658
2024-06-26|8|14|9|15|8|52|22|48|22|50|22|48|22|50|43052|594409|580993
2024-06-27|9|12|9|20|8|23|21|48|21|51|21|58|22|58|43580|591856|578692
2024-06-28|8|13|8|21|8|13|21|50|21|46|21|89|21|47|42392|593875|580273
2024-06-29|8|28|9|33|8|13|21|46|21|55|21|61|21|51|41105|594859|579798
2024-06-30|8|16|8|16|8|13|21|48|21|50|22|56|21|53|40206|599376|582858
2024-07-01|9|15|9|15|8|16|24|55|24|52|25|52|24|53|44180|594697|582067
2024-07-02|9|14|9|14|9|14|21|49|21|42|21|44|21|52|43194|595274|581046
2024-07-03|9|14|9|13|9|24|22|53|22|50|22|55|21|56|43513|599967|587126
2024-07-04|8|11|9|17|9|17|21|51|21|60|21|54|21|51|43736|602805|590166
2024-07-05|9|20|9|16|9|14|25|49|25|49|26|46|25|54|44034|602566|590542
2024-07-06|9|26|9|27|8|17|21|48|22|48|22|56|21|49|42169|606916|592609
2024-07-07|8|12|9|21|9|12|21|43|21|58|21|47|21|51|40916|606344|590836
2024-07-08|8|13|9|15|8|22|21|52|21|58|22|49|21|48|43569|598962|586030
2024-07-09|7|8|5|8|7|43|17|33|17|43|18|56|17|57|31695|595138|572054
