2024.06.01|97.3887|74.081|99.4039|97.9826|115211|841166|50338|903219|3440|47391
2024.06.02|97.5948|73.8704|99.3094|98.0067|112255|825448|46773|886805|3230|43701
2024.06.03|98.3418|63.5502|85.9841|98.511|573168|818990|236538|880488|34197|215655
2024.06.04|98.329|72.6183|99.2084|98.6311|144925|730219|57945|786610|3697|54665
2024.06.05|98.5715|73.0237|99.3609|98.9797|141371|742629|56942|799124|3591|53741
2024.06.06|97.9161|71.946|99.3104|98.4967|140543|749827|56822|806127|3526|53651
2024.06.07|98.2095|71.2665|99.232|98.3808|138866|754072|55987|810286|3635|52813
2024.06.08|98.0992|71.0824|99.2539|98.2467|137162|757207|54225|813260|3772|50771
2024.06.09|97.7009|71.0865|99.3529|98.1294|132876|753639|51755|809758|3481|48434
2024.06.10|98.0208|70.2966|99.4147|98.0609|136593|758291|55852|814833|3378|52845
2024.06.11|97.881|69.7628|99.414|97.9536|134694|760470|54758|817109|3583|51631
2024.06.12|97.74|69.3858|99.3023|97.6533|134444|761603|55377|818154|3499|52227
2024.06.13|97.5672|69.2845|99.2638|97.468|134849|765804|56174|822290|3628|52950
2024.06.14|97.4704|70.0607|99.2439|97.3114|145812|863130|66480|920967|5347|62731
2024.06.15|96.9749|71.2007|99.2405|97.027|137439|840313|58262|896796|4329|53967
2024.06.16|96.3977|71.0854|99.1488|96.4379|137634|823818|58021|879194|4319|53817
2024.06.17|96.4481|70.5517|99.1376|96.2768|136383|813278|55860|869485|4248|51756
2024.06.18|96.11|69.8492|99.1803|95.8409|136667|810663|57431|867169|3821|53719
2024.06.19|96.6764|69.0749|99.3039|96.2419|112679|796455|49399|853442|2034|47691
2024.06.20|96.9262|69.061|99.1253|96.8103|108802|800693|48143|857990|2105|46416
2024.06.21|96.6944|69.5904|99.0992|97.2882|106139|792209|47091|847635|2182|45522
2024.06.22|96.858|69.5099|99.2119|96.9728|105157|795372|45636|850665|2377|43642
2024.06.23|96.9922|69.5285|99.1996|96.7188|108466|793030|48344|848638|2452|46512
2024.06.24|97.0253|69.4232|99.2432|96.8265|108050|794251|47755|850015|2482|45749
2024.06.25|98.1491|77.5902|99.0648|98.9528|113523|824653|49633|883576|2457|47482
2024.06.26|97.6869|76.345|98.989|98.3027|115489|813564|50798|856240|2847|48501
2024.06.27|96.2731|73.7571|98.276|96.5672|118032|847670|53083|888607|2781|50693
2024.06.28|95.0927|73.4879|99.1276|94.7318|118796|844566|52856|887438|2782|50380
2024.06.29|96.8424|72.6626|99.0966|96.5632|117267|842664|50675|886755|2922|48149
2024.06.30|97.7858|72.2925|99.1644|97.9831|112675|840772|48350|885829|2726|45739
