2024.06.01| 99.5948| 97.9295| 99.1525
2024.06.02| 98.4455| 97.8315| 98.775
2024.06.03| 42.2434| 33.3346| 26.3824
2024.06.04| 97.1288| 97.1244| 97.3734
2024.06.05| 98.2948| 98.5926| 97.6422
2024.06.06| 98.9138| 99.0373| 97.9789
2024.06.07| 98.6143| 98.4657| 98.0242
2024.06.08| 98.8625| 98.6421| 98.7793
2024.06.09| 98.1936| 98.4356| 99.0032
2024.06.10| 97.8326| 98.9426| 97.933
2024.06.11| 98.9978| 98.7291| 99.0187
2024.06.12| 97.9156| 98.4688| 97.5167
2024.06.13| 97.929| 98.4146| 99.3311
2024.06.14| 97.9283| 97.7352| 99.6836
2024.06.15| 98.7633| 98.1217| 98.6587
2024.06.16| 97.5198| 97.6499| 97.5257
2024.06.17| 97.1997| 96.9084| 97.7721
2024.06.18| 97.3793| 98.0605| 98.9871
2024.06.19| 97.6912| 97.7581| 98.9529
2024.06.20| 97.3534| 98.0662| 98.4127
2024.06.21| 97.5457| 97.5556| 98.4719
2024.06.22| 98.5418| 97.8947| 97.4454
2024.06.23| 98.1284| 98.191| 98.0461
2024.06.24| 98.0987| 98.8736| 98.9229
2024.06.25| 97.5175| 98.1161| 98.1423
2024.06.26| 97.7783| 98.3308| 98.4539
2024.06.27| 98.9668| 98.8024| 97.5731
2024.06.28| 98.1382| 99.2917| 98.3196
2024.06.29| 98.4249| 98.7308| 98.5724
2024.06.30| 97.8218| 98.2591| 98.0766
2024.06.01| 99.5948| 97.9295| 99.1525
2024.06.02| 98.4455| 97.8315| 98.775
2024.06.03| 42.2434| 33.3346| 26.3824
2024.06.04| 97.1288| 97.1244| 97.3734
2024.06.05| 98.2948| 98.5926| 97.6422
2024.06.06| 98.9138| 99.0373| 97.9789
2024.06.07| 98.6143| 98.4657| 98.0242
2024.06.08| 98.8625| 98.6421| 98.7793
2024.06.09| 98.1936| 98.4356| 99.0032
2024.06.10| 97.8326| 98.9426| 97.933
2024.06.11| 98.9978| 98.7291| 99.0187
2024.06.12| 97.9156| 98.4688| 97.5167
2024.06.13| 97.929| 98.4146| 99.3311
2024.06.14| 97.9283| 97.7352| 99.6836
2024.06.15| 98.7633| 98.1217| 98.6587
2024.06.16| 97.5198| 97.6499| 97.5257
2024.06.17| 97.1997| 96.9084| 97.7721
2024.06.18| 97.3793| 98.0605| 98.9871
2024.06.19| 97.6912| 97.7581| 98.9529
2024.06.20| 97.3534| 98.0662| 98.4127
2024.06.21| 97.5457| 97.5556| 98.4719
2024.06.22| 98.5418| 97.8947| 97.4454
2024.06.23| 98.1284| 98.191| 98.0461
2024.06.24| 98.0987| 98.8736| 98.9229
2024.06.25| 97.5175| 98.1161| 98.1423
2024.06.26| 97.7783| 98.3308| 98.4539
2024.06.27| 98.9668| 98.8024| 97.5731
2024.06.28| 98.1382| 99.2917| 98.3196
2024.06.29| 98.4249| 98.7308| 98.5724
2024.06.30| 97.8218| 98.2591| 98.0766
